epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0772,1.55096,9.46881,2.00199,0.98654,0.9469,0.98499,0.43346,2.08731,3.61001,2.14329,0.000410053,0.000410053,0.000410053
2,81.6538,0.79986,2.17886,1.15042,0.89389,0.92347,0.93019,0.58429,1.2271,1.72234,1.25607,0.000818535,0.000818535,0.000818535
3,123.681,0.96077,1.36477,1.23912,0.00392,0.35317,0.0046,0.00206,2.70794,6.21044,3.29052,0.00121877,0.00121877,0.00121877
4,163.336,0.8885,1.12737,1.25195,0.50393,0.02083,0.00145,0.00036,3.2358,19.1539,4.78793,0.00121287,0.00121287,0.00121287
5,192.555,0.82632,0.79917,1.16726,0.07407,0.3869,0.01465,0.00609,3.36228,43.1146,3.91607,0.0012005,0.0012005,0.0012005
6,216.024,0.72247,0.68641,1.07334,0.77652,0.52378,0.62295,0.43302,1.13377,2.11054,1.32412,0.00118812,0.00118812,0.00118812
7,244.284,0.71225,0.5505,1.06046,0.97858,0.92451,0.97796,0.38347,2.19834,0.89615,2.40777,0.00117575,0.00117575,0.00117575
8,273.658,0.73772,0.52828,1.06401,0.64905,0.26956,0.26693,0.12232,2.93649,4.02189,3.16837,0.00116337,0.00116337,0.00116337
9,306.04,0.67814,0.48744,1.03985,0.91672,0.90092,0.95289,0.63073,1.22568,0.73637,1.42224,0.001151,0.001151,0.001151
10,334.668,0.64842,0.48879,1.00879,0.68928,0.41786,0.48737,0.28553,1.64983,2.31531,1.72577,0.00113863,0.00113863,0.00113863
11,367.369,0.64369,0.45875,0.99588,0.92891,0.89546,0.95216,0.68003,1.04343,0.66418,1.26445,0.00112625,0.00112625,0.00112625
12,396.087,0.59862,0.41867,0.97915,0.99044,0.955,0.9738,0.67646,1.15309,0.57898,1.22636,0.00111388,0.00111388,0.00111388
13,423.897,0.57234,0.43263,0.97718,0.98847,0.94453,0.97273,0.66895,1.15269,0.64118,1.27526,0.0011015,0.0011015,0.0011015
14,452.689,0.59108,0.4095,0.96643,0.98642,0.95313,0.97606,0.66397,1.17007,0.57297,1.24478,0.00108913,0.00108913,0.00108913
15,476.046,0.56164,0.39844,0.95496,0.97353,0.96879,0.98203,0.6556,1.23211,0.59921,1.25057,0.00107675,0.00107675,0.00107675
16,499.049,0.57435,0.38011,0.95378,0.94561,0.96073,0.97181,0.68441,1.03207,0.53616,1.20472,0.00106437,0.00106437,0.00106437
17,527.738,0.51003,0.34617,0.93677,0.91971,0.63401,0.69086,0.50359,1.15744,1.52533,1.30042,0.001052,0.001052,0.001052
18,548.335,0.51439,0.34973,0.93869,0.97377,0.95792,0.98348,0.72446,0.96982,0.52437,1.19823,0.00103962,0.00103962,0.00103962
19,568.95,0.51449,0.3513,0.92743,0.96299,0.97917,0.98791,0.76807,0.8348,0.44857,1.06819,0.00102725,0.00102725,0.00102725
20,597.267,0.4947,0.33459,0.91078,0.94281,0.91749,0.95989,0.79313,0.67769,0.52842,1.00979,0.00101488,0.00101488,0.00101488
21,635.639,0.50187,0.34607,0.91903,0.97644,0.96032,0.98332,0.6791,1.18715,0.50395,1.36566,0.0010025,0.0010025,0.0010025
22,662.923,0.46071,0.31525,0.90835,0.98664,0.95359,0.99272,0.66655,1.19309,0.48076,1.33671,0.000990125,0.000990125,0.000990125
23,697.826,0.49726,0.34019,0.92111,0.98983,0.9699,0.98998,0.7334,0.92368,0.4428,1.1319,0.00097775,0.00097775,0.00097775
24,723.523,0.48181,0.33574,0.91116,0.94781,0.78667,0.87142,0.68589,0.75382,0.92845,1.06167,0.000965375,0.000965375,0.000965375
25,751.058,0.46953,0.33105,0.90922,0.98338,0.95605,0.98138,0.76072,0.83245,0.45625,1.08018,0.000953,0.000953,0.000953
26,780.595,0.45558,0.3177,0.91507,0.98783,0.94159,0.97859,0.76096,0.82608,0.46084,1.07112,0.000940625,0.000940625,0.000940625
27,812.266,0.46326,0.32262,0.9041,0.96816,0.96348,0.98419,0.80599,0.70545,0.41111,1.01506,0.00092825,0.00092825,0.00092825
28,840.684,0.47216,0.32046,0.91991,0.9926,0.95729,0.98285,0.77219,0.77383,0.43228,1.02718,0.000915875,0.000915875,0.000915875
29,867.007,0.47652,0.32472,0.9046,0.98118,0.97679,0.98398,0.72137,1.00959,0.47755,1.13305,0.0009035,0.0009035,0.0009035
30,894.623,0.47472,0.32239,0.9115,0.99362,0.9619,0.98674,0.76509,0.85579,0.43582,1.01735,0.000891125,0.000891125,0.000891125
31,918.401,0.47482,0.31531,0.90292,0.95827,0.90661,0.93576,0.64105,1.10047,0.59625,1.23494,0.00087875,0.00087875,0.00087875
